epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,46.6118,1.12241,2.73833,1.55012,0.51136,0.1619,0.20812,0.1104,1.40388,3.37459,1.97686,0.000365646,0.000365646,0.000365646
2,80.9561,1.18432,2.1774,1.56369,0.35785,0.16207,0.13461,0.05644,2.14617,3.92568,2.55175,0.000726871,0.000726871,0.000726871
3,115.422,1.23087,2.0901,1.6047,0.16341,0.32531,0.20847,0.09197,1.79151,3.12166,2.3276,0.00107893,0.00107893,0.00107893
4,150.291,1.23094,1.98938,1.60887,0.62241,0.2668,0.27544,0.11259,1.81217,2.69753,2.46403,0.00106975,0.00106975,0.00106975
5,184.978,1.24615,1.91438,1.61725,0.67899,0.28664,0.31865,0.15192,1.58745,2.50662,2.13104,0.00105601,0.00105601,0.00105601
6,219.352,1.19205,1.80662,1.58038,0.34213,0.36027,0.29557,0.15396,1.49432,2.487,2.05933,0.00104226,0.00104226,0.00104226
7,253.822,1.14759,1.71801,1.53577,0.73047,0.28335,0.35797,0.20166,1.44043,2.18215,1.99183,0.00102851,0.00102851,0.00102851
8,288.55,1.16358,1.6982,1.54812,0.3263,0.41292,0.35025,0.1969,1.43091,2.079,1.89614,0.00101476,0.00101476,0.00101476
9,323.071,1.13139,1.61283,1.52088,0.45202,0.4575,0.456,0.26161,1.41802,1.86236,1.8836,0.00100101,0.00100101,0.00100101
10,358.304,1.11615,1.59289,1.51814,0.40246,0.43033,0.42402,0.25986,1.38139,1.79381,1.88552,0.000987262,0.000987262,0.000987262
11,392.709,1.11279,1.54251,1.48822,0.31358,0.48806,0.42397,0.25378,1.39814,1.89018,1.85566,0.000973514,0.000973514,0.000973514
12,427.172,1.09517,1.50097,1.49105,0.45052,0.56916,0.50187,0.29322,1.45898,1.6834,1.91986,0.000959765,0.000959765,0.000959765
13,463.527,1.09147,1.48619,1.50479,0.4005,0.42683,0.42,0.2322,1.55287,2.11149,2.01109,0.000946016,0.000946016,0.000946016
14,515.909,1.07997,1.45171,1.47482,0.69584,0.37417,0.45625,0.26997,1.41014,1.77906,1.82324,0.000932268,0.000932268,0.000932268
15,552.766,1.07329,1.42628,1.47467,0.60028,0.41176,0.46211,0.28868,1.38629,1.78279,1.87836,0.000918519,0.000918519,0.000918519
16,589.718,1.06542,1.47466,1.48466,0.34179,0.53947,0.46911,0.28107,1.37255,1.71808,1.84088,0.000904771,0.000904771,0.000904771
17,626.655,1.03176,1.40034,1.44993,0.38283,0.53028,0.49077,0.30124,1.3564,1.64792,1.84957,0.000891022,0.000891022,0.000891022
18,662.113,1.03019,1.34896,1.4471,0.36104,0.51733,0.44971,0.27928,1.3665,1.73132,1.8725,0.000877273,0.000877273,0.000877273
19,698.726,1.0176,1.32852,1.44487,0.45463,0.45781,0.46544,0.302,1.25807,1.62942,1.71841,0.000863525,0.000863525,0.000863525
20,737.172,1.01492,1.3464,1.42217,0.49113,0.55814,0.53745,0.34107,1.31004,1.49779,1.78344,0.000849776,0.000849776,0.000849776
21,775.213,0.99079,1.31931,1.41,0.47799,0.56535,0.53105,0.34993,1.2638,1.5678,1.73858,0.000836027,0.000836027,0.000836027
22,811.394,1.00366,1.31082,1.41929,0.57482,0.52175,0.56149,0.37383,1.26717,1.45276,1.74484,0.000822279,0.000822279,0.000822279
23,847.592,0.98368,1.30875,1.41367,0.41805,0.66014,0.56825,0.37758,1.22771,1.41652,1.69033,0.00080853,0.00080853,0.00080853
24,883.847,0.97744,1.24514,1.40363,0.47443,0.58597,0.54693,0.35265,1.31621,1.42604,1.76659,0.000794782,0.000794782,0.000794782
25,921.479,0.97433,1.2519,1.40414,0.53108,0.53554,0.55403,0.36986,1.18953,1.37304,1.67555,0.000781033,0.000781033,0.000781033
26,956.953,0.95725,1.21039,1.39098,0.53556,0.54737,0.56256,0.35902,1.327,1.38308,1.80565,0.000767284,0.000767284,0.000767284
27,993.582,0.9876,1.24102,1.41073,0.52123,0.52543,0.56131,0.37504,1.19087,1.36908,1.66662,0.000753536,0.000753536,0.000753536
28,1030.67,0.94706,1.2191,1.38271,0.50587,0.5752,0.56324,0.38034,1.16636,1.36799,1.65143,0.000739787,0.000739787,0.000739787
29,1066.12,0.92084,1.16929,1.3602,0.49056,0.5966,0.55219,0.3493,1.30011,1.4135,1.7769,0.000726038,0.000726038,0.000726038
30,1101.34,0.96271,1.18612,1.37697,0.51128,0.61948,0.5748,0.3786,1.24445,1.29935,1.70968,0.00071229,0.00071229,0.00071229
31,1136.46,0.93043,1.15778,1.36882,0.4705,0.60041,0.53522,0.3351,1.35097,1.43892,1.84868,0.000698541,0.000698541,0.000698541
32,1171.8,0.93292,1.14114,1.36167,0.50105,0.54488,0.5575,0.37376,1.19906,1.41373,1.65632,0.000684793,0.000684793,0.000684793
33,1207.27,0.92078,1.11516,1.35322,0.54684,0.60486,0.59339,0.40793,1.18775,1.26468,1.66627,0.000671044,0.000671044,0.000671044
34,1242.27,0.9208,1.08884,1.35619,0.5344,0.62256,0.59212,0.39143,1.22378,1.28316,1.68196,0.000657295,0.000657295,0.000657295
35,1277.63,0.90644,1.10756,1.3487,0.49572,0.65582,0.60366,0.4012,1.2353,1.24565,1.69282,0.000643547,0.000643547,0.000643547
36,1313.61,0.90192,1.08747,1.3337,0.48867,0.56698,0.52596,0.34266,1.22997,1.45441,1.68355,0.000629798,0.000629798,0.000629798
37,1348.67,0.88477,1.07603,1.31929,0.58259,0.64409,0.60645,0.39534,1.21941,1.25638,1.69341,0.000616049,0.000616049,0.000616049
38,1383.8,0.88652,1.05559,1.32753,0.51875,0.55096,0.54933,0.36776,1.2335,1.36737,1.69383,0.000602301,0.000602301,0.000602301
39,1418.68,0.86226,1.06302,1.31223,0.50588,0.61327,0.56399,0.37929,1.24899,1.32034,1.72219,0.000588552,0.000588552,0.000588552
40,1453.55,0.87425,1.01611,1.31484,0.4953,0.58281,0.57686,0.39706,1.1815,1.29918,1.66375,0.000574804,0.000574804,0.000574804
41,1488.34,0.85575,1.01385,1.3208,0.5256,0.54553,0.5704,0.38839,1.18043,1.32481,1.6312,0.000561055,0.000561055,0.000561055
42,1522.92,0.85739,1.04815,1.30876,0.57238,0.5375,0.56466,0.39104,1.18246,1.34355,1.62871,0.000547306,0.000547306,0.000547306
43,1557.77,0.84531,0.98765,1.30527,0.59412,0.66438,0.61335,0.42655,1.19882,1.22456,1.67907,0.000533558,0.000533558,0.000533558
44,1592.97,0.83461,0.98157,1.30305,0.5039,0.60658,0.61862,0.42034,1.21734,1.29276,1.68728,0.000519809,0.000519809,0.000519809
45,1628.73,0.83634,0.97551,1.29517,0.55294,0.69628,0.62193,0.42177,1.20121,1.18581,1.66344,0.00050606,0.00050606,0.00050606
46,1663.85,0.84128,0.98637,1.29789,0.53483,0.71767,0.64131,0.43757,1.17856,1.17432,1.64589,0.000492312,0.000492312,0.000492312
47,1700.07,0.82908,0.9505,1.28397,0.51519,0.61801,0.60994,0.41718,1.16328,1.19022,1.62015,0.000478563,0.000478563,0.000478563
48,1736.88,0.82403,0.95974,1.28365,0.48313,0.66954,0.5956,0.41115,1.22499,1.28479,1.70785,0.000464815,0.000464815,0.000464815
49,1773.46,0.81626,0.93201,1.27796,0.60325,0.64516,0.67289,0.47096,1.16077,1.16436,1.61922,0.000451066,0.000451066,0.000451066
50,1810.14,0.81735,0.92337,1.27134,0.55326,0.62116,0.61633,0.41723,1.18471,1.24951,1.67742,0.000437317,0.000437317,0.000437317
51,1845.47,0.80423,0.91309,1.26385,0.5472,0.61667,0.58948,0.40719,1.1591,1.24588,1.62664,0.000423569,0.000423569,0.000423569
52,1880.6,0.79167,0.89546,1.25615,0.5894,0.59016,0.63089,0.43674,1.1683,1.15172,1.66346,0.00040982,0.00040982,0.00040982
53,1915.88,0.78981,0.91261,1.26108,0.59915,0.62846,0.63438,0.45135,1.13164,1.17222,1.6092,0.000396071,0.000396071,0.000396071
54,1950.41,0.80095,0.90223,1.27108,0.56304,0.59486,0.59973,0.41838,1.14718,1.17978,1.63534,0.000382323,0.000382323,0.000382323
55,1985.8,0.78372,0.88919,1.25172,0.57873,0.63732,0.60038,0.4134,1.16669,1.2091,1.6465,0.000368574,0.000368574,0.000368574
56,2021.07,0.78253,0.88131,1.24839,0.54695,0.67204,0.62393,0.43434,1.19049,1.17371,1.64502,0.000354826,0.000354826,0.000354826
57,2056.6,0.78769,0.88071,1.25582,0.61358,0.68303,0.65779,0.45188,1.14094,1.11112,1.62408,0.000341077,0.000341077,0.000341077
58,2091.54,0.76413,0.86224,1.2358,0.57422,0.67636,0.62844,0.43687,1.14636,1.10203,1.61311,0.000327328,0.000327328,0.000327328
59,2126.82,0.75978,0.85338,1.23806,0.58993,0.6492,0.63993,0.445,1.13887,1.15107,1.61744,0.00031358,0.00031358,0.00031358
60,2162.13,0.76738,0.87534,1.24127,0.56225,0.63768,0.62143,0.43743,1.15111,1.14669,1.61615,0.000299831,0.000299831,0.000299831
61,2197.67,0.76035,0.82503,1.22958,0.54778,0.69065,0.62169,0.43392,1.16096,1.1457,1.61291,0.000286083,0.000286083,0.000286083
62,2233.29,0.73595,0.82094,1.20791,0.58983,0.64721,0.63682,0.43778,1.1585,1.13831,1.61657,0.000272334,0.000272334,0.000272334
63,2268.78,0.74174,0.80938,1.21547,0.53806,0.70448,0.6275,0.43979,1.15117,1.13175,1.62219,0.000258585,0.000258585,0.000258585
64,2304.85,0.74027,0.79648,1.21211,0.66424,0.57638,0.61898,0.42639,1.14085,1.18515,1.61379,0.000244837,0.000244837,0.000244837
